TITLE,CRSE,ID,CRSE_ID,CRSE_ID_SEC,CRSE_ID_TERM,ACT,FAC1,FAC2,TERM,AY,S,L,Q,W1,W2,W3,CEL,PW,CONT
Senior Thesis,BIO,458,BIO_458,BIO_458_RB,BIO_458_RB_winter_2016-17,1,Ryan Bavis,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Junior Seminar,BIO,460,BIO_460,BIO_460_A,BIO_460_A_winter_2016-17,16,Carla Essenberg,0,winter,2016-17,0,0,0,0,0,1,0,1,0
Seminar and Research in Physiology,BIO,472,BIO_472,BIO_472_A,BIO_472_A_winter_2016-17,5,Andrew Mountcastle,0,winter,2016-17,1,1,1,0,0,1,0,0,0
Senior Thesis,BIOC,458,BIOC_458,BIOC_458_TL,BIOC_458_TL_winter_2016-17,1,Glen Lawson,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Chemical Reactivity/Lab,CHEM,108A,CHEM_108A,CHEM_108A_C,CHEM_108A_C_winter_2016-17,38,Glen Lawson,0,winter,2016-17,1,1,1,0,0,0,0,0,0
Chemical Reactivity/Lab,CHEM,108A,CHEM_108A,CHEM_108A_A,CHEM_108A_A_winter_2016-17,44,Paula Schlax,0,winter,2016-17,1,1,1,0,0,0,0,0,0
Chemical Reactivity/Lab,CHEM,108A,CHEM_108A,CHEM_108A_B,CHEM_108A_B_winter_2016-17,31,Ryan Nelson,0,winter,2016-17,1,1,1,0,0,0,0,0,1
Separation Science/Lab,CHEM,212,CHEM_212,CHEM_212_A,CHEM_212_A_winter_2016-17,9,Arianne Bazilio,0,winter,2016-17,1,1,1,0,0,0,0,0,1
Organic Chemistry II/Lab,CHEM,218,CHEM_218,CHEM_218_B,CHEM_218_B_winter_2016-17,44,Andrew Kennedy,0,winter,2016-17,1,1,0,0,0,0,0,0,0
Organic Chemistry II/Lab,CHEM,218,CHEM_218,CHEM_218_A,CHEM_218_A_winter_2016-17,42,Jennifer Koviach-Cote,0,winter,2016-17,1,1,0,0,0,0,0,0,0
Statistical Thermodynamics,CHEM,302,CHEM_302,CHEM_302_A,CHEM_302_A_winter_2016-17,24,Lynn Mandeltort,0,winter,2016-17,1,0,1,0,0,0,0,0,1
Biological Chemistry II/Lab,CHEM,322,CHEM_322,CHEM_322_A,CHEM_322_A_winter_2016-17,18,Glen Lawson,0,winter,2016-17,1,1,1,0,0,0,0,0,0
Organometallics,CHEM,328,CHEM_328,CHEM_328_A,CHEM_328_A_winter_2016-17,10,Ryan Nelson,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Senior Research and Seminar,CHEM,458,CHEM_458,CHEM_458_TL,CHEM_458_TL_winter_2016-17,1,Glen Lawson,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Beginning Chinese II,CHI,102,CHI_102,CHI_102_A,CHI_102_A_winter_2016-17,17,Shuhui Yang,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Intermediate Chinese II,CHI,202,CHI_202,CHI_202_A,CHI_202_A_winter_2016-17,12,Li-Ping Miao,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Upper-Level Modern Chinese II,CHI,302,CHI_302,CHI_302_A,CHI_302_A_winter_2016-17,13,Li-Ping Miao,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Advanced Chinese II,CHI,402,CHI_402,CHI_402_A,CHI_402_A_winter_2016-17,6,Shuhui Yang,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Senior Thesis,CHI,458,CHI_458,CHI_458_SY,CHI_458_SY_winter_2016-17,2,Shuhui Yang,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Chaucer and His Context,CMEN,344,CMEN_344,CMEN_344_A,CMEN_344_A_winter_2016-17,4,Sylvia Federico,0,winter,2016-17,0,0,0,0,0,0,0,0,0
"Rome and the East, Digitally",CMHI,283,CMHI_283,CMHI_283_A,CMHI_283_A_winter_2016-17,12,Hamish Cameron,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Classical Geography,CMHI,345,CMHI_345,CMHI_345_A,CMHI_345_A_winter_2016-17,10,Hamish Cameron,0,winter,2016-17,0,0,0,0,1,0,0,0,1
Ancient Greek Philosophy,CMPL,271,CMPL_271,CMPL_271_A,CMPL_271_A_winter_2016-17,30,Susan Stark,0,winter,2016-17,0,0,0,0,0,0,0,1,0
Venice to Istanbul and Cairo: Religion and Trade in the Medieval Mediterranean,CMRE,221,CMRE_221,CMRE_221_A,CMRE_221_A_winter_2016-17,32,Ali Akhtar,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Senior Thesis,CMS,458,CMS_458,CMS_458_DO,CMS_458_DO_winter_2016-17,1,Laurie O'Higgins,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Senior Thesis,CMS,458,CMS_458,CMS_458_LM,CMS_458_LM_winter_2016-17,1,Lisa Maurizio,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Gender and the Body in Ancient Greece,CMWS,204,CMWS_204,CMWS_204_A,CMWS_204_A_winter_2016-17,16,Laurie O'Higgins,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Dance Composition,DANC,251,DANC_251,DANC_251_A,DANC_251_A_winter_2016-17,11,Julie Fox,0,winter,2016-17,0,0,0,0,0,0,0,1,1
Studio: Beginning Modern I,DANC,270A,DANC_270A,DANC_270A_A,DANC_270A_A_winter_2016-17,14,Julie Fox,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Studio: Beginning Ballet,DANC,270B,DANC_270B,DANC_270B_A,DANC_270B_A_winter_2016-17,17,Rachel Boggia,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Studio: Jazz,DANC,270E,DANC_270E,DANC_270E_A,DANC_270E_A_winter_2016-17,15,Rachel Boggia,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Studio Dance: Dance Ensemble,DANC,270G,DANC_270G,DANC_270G_A,DANC_270G_A_winter_2016-17,9,Julie Fox,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Studio Dance: Intermediate/Advanced Ballet,DANC,270H,DANC_270H,DANC_270H_A,DANC_270H_A_winter_2016-17,9,Rachel Boggia,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Studio: Hip Hop,DANC,270K,DANC_270K,DANC_270K_A,DANC_270K_A_winter_2016-17,23,Rachel Boggia,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Studio: Hip Hop II,DANC,270L,DANC_270L,DANC_270L_A,DANC_270L_A_winter_2016-17,15,Rachel Boggia,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Studio:Dance Ensemble Advanced,DANC,270M,DANC_270M,DANC_270M_A,DANC_270M_A_winter_2016-17,12,Rachel Boggia,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Advanced Composition Seminar,DANC,351,DANC_351,DANC_351_A,DANC_351_A_winter_2016-17,5,Rachel Boggia,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Senior Thesis,DANC,458,DANC_458,DANC_458_RB,DANC_458_RB_winter_2016-17,3,Rachel Boggia,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Big Data and Economics,DCEC,368,DCEC_368,DCEC_368_A,DCEC_368_A_winter_2016-17,19,Nate Tefft,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Introduction to Algorithms,DCS,101,DCS_101,DCS_101_A,DCS_101_A_winter_2016-17,29,Raj Saha,0,winter,2016-17,0,0,0,0,0,0,0,0,1
West African Music and Dance Ensemble,DNMU,290G,DNMU_290G,DNMU_290G_A,DNMU_290G_A_winter_2016-17,5,Hiroya Miura,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Performance,DNTH,290,DNTH_290,DNTH_290_A,DNTH_290_A_winter_2016-17,10,Michael Reidy,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Advanced Production Laboratory,DNTH,390,DNTH_390,DNTH_390_A,DNTH_390_A_winter_2016-17,2,Michael Reidy,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Optimal Control Theory,ECMA,342,ECMA_342,ECMA_342_A,ECMA_342_A_winter_2016-17,14,Michael Murray,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Principles of Microeconomics: Prices and Markets,ECON,101,ECON_101,ECON_101_B,ECON_101_B_winter_2016-17,20,Jean Paul Rabanal Sobrino,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Principles of Microeconomics: Prices and Markets,ECON,101,ECON_101,ECON_101_A,ECON_101_A_winter_2016-17,18,Jean Paul Rabanal Sobrino,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Principles of Macroeconomics: Income and Employment,ECON,103,ECON_103,ECON_103_C,ECON_103_C_winter_2016-17,13,George Perkins,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Principles of Macroeconomics: Income and Employment,ECON,103,ECON_103,ECON_103_A,ECON_103_A_winter_2016-17,26,Leshui He,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Principles of Macroeconomics: Income and Employment,ECON,103,ECON_103,ECON_103_B,ECON_103_B_winter_2016-17,35,Leshui He,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Principles of Macroeconomics: Income and Employment,ECON,103,ECON_103,ECON_103_D,ECON_103_D_winter_2016-17,30,Olga Rabanal,Daniel Riera-Crichton,winter,2016-17,0,0,0,0,0,0,0,0,1
The World Economy,ECON,221,ECON_221,ECON_221_A,ECON_221_A_winter_2016-17,24,Daniel Riera-Crichton,0,winter,2016-17,0,0,0,0,1,0,0,0,0
Environmental Economics,ECON,222,ECON_222,ECON_222_A,ECON_222_A_winter_2016-17,26,Lynne Lewis,0,winter,2016-17,0,0,0,0,0,0,0,1,0
Statistics,ECON,250,ECON_250,ECON_250_A,ECON_250_A_winter_2016-17,28,Jim Hughes,0,winter,2016-17,0,0,1,0,0,0,0,0,0
Econometrics,ECON,255,ECON_255,ECON_255_A,ECON_255_A_winter_2016-17,43,Michael Murray,0,winter,2016-17,0,0,1,0,0,0,0,0,0
Intermediate Microeconomic Theory,ECON,260,ECON_260,ECON_260_A,ECON_260_A_winter_2016-17,34,Leshui He,0,winter,2016-17,0,0,1,0,0,0,0,0,0
Intermediate Macroeconomic Theory,ECON,270,ECON_270,ECON_270_A,ECON_270_A_winter_2016-17,38,Daniel Riera-Crichton,0,winter,2016-17,0,0,1,0,0,0,0,0,0
Advanced Macroeconomics,ECON,318,ECON_318,ECON_318_A,ECON_318_A_winter_2016-17,16,Paul Shea,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Corporate Finance,ECON,324,ECON_324,ECON_324_A,ECON_324_A_winter_2016-17,17,Jean Paul Rabanal Sobrino,0,winter,2016-17,0,0,0,0,0,0,0,0,1
"Prices, Property, and the Problem of the Commons",ECON,325,ECON_325,ECON_325_A,ECON_325_A_winter_2016-17,20,Lynne Lewis,0,winter,2016-17,0,0,0,0,1,0,0,1,0
International Trade,ECON,333,ECON_333,ECON_333_A,ECON_333_A_winter_2016-17,17,Olga Rabanal,Daniel Riera-Crichton,winter,2016-17,0,0,0,0,0,0,0,0,1
Senior Capstone in Economics,ECON,456,ECON_456,ECON_456_B,ECON_456_B_winter_2016-17,11,George Perkins,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Senior Capstone in Economics,ECON,456,ECON_456,ECON_456_A,ECON_456_A_winter_2016-17,11,Maggie Maurer-Fazio,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Senior Capstone in Economics,ECON,456,ECON_456,ECON_456_E,ECON_456_E_winter_2016-17,7,Michael Murray,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Senior Capstone in Economics,ECON,456,ECON_456,ECON_456_D,ECON_456_D_winter_2016-17,10,Nate Tefft,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Senior Capstone in Economics,ECON,456,ECON_456,ECON_456_C,ECON_456_C_winter_2016-17,12,Paul Shea,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Senior Thesis,ECON,458,ECON_458,ECON_458_NT,ECON_458_NT_winter_2016-17,1,Nate Tefft,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Community-Based Research Methods,EDPY,262,EDPY_262,EDPY_262_A,EDPY_262_A_winter_2016-17,14,Krista Aronson,0,winter,2016-17,0,0,0,0,1,0,1,0,0
Perspectives on Education,EDUC,231,EDUC_231,EDUC_231_A,EDUC_231_A_winter_2016-17,25,Mara Tieken,0,winter,2016-17,0,0,0,0,0,0,1,0,0
Perspectives on Education,EDUC,231,EDUC_231,EDUC_231_B,EDUC_231_B_winter_2016-17,28,Mara Tieken,0,winter,2016-17,0,0,0,0,0,0,1,0,0
Teaching in the Sciences,EDUC,235,EDUC_235,EDUC_235_A,EDUC_235_A_winter_2016-17,20,William Wallace,0,winter,2016-17,0,0,0,0,0,0,1,1,1
Adolescent Literacy,EDUC,255,EDUC_255,EDUC_255_A,EDUC_255_A_winter_2016-17,26,Anita Charles,0,winter,2016-17,0,0,0,0,1,0,1,1,1
Educating for Democracy: Racial Justice and Constitutional Disputes,EDUC,270,EDUC_270,EDUC_270_A,EDUC_270_A_winter_2016-17,16,Hoang Tran,0,winter,2016-17,0,0,0,0,0,0,1,0,1
Internship in Education,EDUC,290,EDUC_290,EDUC_290_A,EDUC_290_A_winter_2016-17,6,Patti Buck,0,winter,2016-17,0,0,0,0,0,0,1,0,0
Learning and Teaching: Theories and Practice,EDUC,343,EDUC_343,EDUC_343_A,EDUC_343_A_winter_2016-17,13,Bronwyn Sale,0,winter,2016-17,0,0,0,0,0,0,1,1,1
Curriculum and Methods,EDUC,447,EDUC_447,EDUC_447_A,EDUC_447_A_winter_2016-17,5,Bronwyn Sale,Anita Charles,winter,2016-17,0,0,0,0,0,0,1,0,1
Senior Seminar: Reflection and Engagement,EDUC,448,EDUC_448,EDUC_448_A,EDUC_448_A_winter_2016-17,5,Bronwyn Sale,Anita Charles,winter,2016-17,0,0,0,0,0,0,1,1,1
Seminar in Educational Studies,EDUC,450,EDUC_450,EDUC_450_A,EDUC_450_A_winter_2016-17,15,Patti Buck,0,winter,2016-17,0,0,0,0,0,0,1,0,0
Student Teaching II,EDUC,461,EDUC_461,EDUC_461_A,EDUC_461_A_winter_2016-17,5,Bronwyn Sale,Anita Charles,winter,2016-17,0,0,0,0,0,0,1,0,1
The Future Perfect Tense: Cli-Fi and Sense Making in the Anthropocene,ENES,258,ENES_258,ENES_258_A,ENES_258_A_winter_2016-17,11,Elizabeth Mueller,0,winter,2016-17,0,0,0,0,0,0,0,0,1
"Frost, Stevens, Williams",ENG,121C,ENG_121C,ENG_121C_A,ENG_121C_A_winter_2016-17,24,Robert Farnsworth,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Modern Short Stories,ENG,121L,ENG_121L,ENG_121L_A,ENG_121L_A_winter_2016-17,26,Myra Wright,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Becoming America,ENG,121Y,ENG_121Y,ENG_121Y_A,ENG_121Y_A_winter_2016-17,15,Robert Strong,0,winter,2016-17,0,0,0,0,0,0,0,0,1
American Writers since 1900,ENG,152,ENG_152,ENG_152_B,ENG_152_B_winter_2016-17,17,Steven Dillon,0,winter,2016-17,0,0,0,0,0,0,0,1,0
American Writers since 1900,ENG,152,ENG_152,ENG_152_A,ENG_152_A_winter_2016-17,21,Steven Dillon,0,winter,2016-17,0,0,0,0,0,0,0,1,0
Shakespeare,ENG,214,ENG_214,ENG_214_A,ENG_214_A_winter_2016-17,24,Myra Wright,0,winter,2016-17,0,0,0,0,0,0,0,1,1
Seventeenth-Century Literature,ENG,222,ENG_222,ENG_222_A,ENG_222_A_winter_2016-17,17,Myra Wright,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Modern Irish Poetry,ENG,264,ENG_264,ENG_264_A,ENG_264_A_winter_2016-17,25,Robert Farnsworth,0,winter,2016-17,0,0,0,0,1,0,0,0,1
Fiction Writing,ENG,291,ENG_291,ENG_291_A,ENG_291_A_winter_2016-17,16,Jess Anthony,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Poetry Writing,ENG,292,ENG_292,ENG_292_A,ENG_292_A_winter_2016-17,14,Eden Osucha,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Methods and Modes of Literary Study,ENG,296,ENG_296,ENG_296_A,ENG_296_A_winter_2016-17,38,Sylvia Federico,0,winter,2016-17,0,0,0,0,0,0,0,0,0
The Arctic Sublime,ENG,395K,ENG_395K,ENG_395K_A,ENG_395K_A_winter_2016-17,8,Lillian Nayder,0,winter,2016-17,0,0,0,0,1,0,0,0,0
Literature/Cinema,ENG,395N,ENG_395N,ENG_395N_A,ENG_395N_A_winter_2016-17,16,Steven Dillon,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Senior Thesis,ENG,458,ENG_458,ENG_458_EO,ENG_458_EO_winter_2016-17,3,Eden Osucha,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Scientific Approaches to Environmental Issues/Lab,ENVR,203,ENVR_203,ENVR_203_A,ENVR_203_A_winter_2016-17,30,Holly Ewing,0,winter,2016-17,1,1,1,0,0,0,0,0,0
Lives in Place,ENVR,205,ENVR_205,ENVR_205_A,ENVR_205_A_winter_2016-17,39,Jane Costlow,0,winter,2016-17,0,0,0,0,0,0,0,0,0
The Electric Grid,ENVR,229,ENVR_229,ENVR_229_A,ENVR_229_A_winter_2016-17,29,John Smedley,0,winter,2016-17,1,0,1,0,0,0,0,0,0
Literatures of Agriculture,ENVR,340,ENVR_340,ENVR_340_A,ENVR_340_A_winter_2016-17,12,Misty Beck,0,winter,2016-17,0,0,0,0,0,0,0,1,1
Senior Thesis,ENVR,458,ENVR_458,ENVR_458_JC,ENVR_458_JC_winter_2016-17,2,Jane Costlow,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Asian American Women Writers,ENWS,121G,ENWS_121G,ENWS_121G_B,ENWS_121G_B_winter_2016-17,6,Tiffany Salter,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Asian American Women Writers,ENWS,121G,ENWS_121G,ENWS_121G_A,ENWS_121G_A_winter_2016-17,8,Tiffany Salter,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Queer Studies,ENWS,248,ENWS_248,ENWS_248_A,ENWS_248_A_winter_2016-17,16,Eden Osucha,0,winter,2016-17,0,0,0,0,1,0,0,0,0
Maine: Environment and History,ESHI,301M,ESHI_301M,ESHI_301M_A,ESHI_301M_A_winter_2016-17,11,Joseph Hall,0,winter,2016-17,0,0,0,0,1,0,0,0,0
Oikos: Rethinking Economy and Ecology,ESPT,272,ESPT_272,ESPT_272_A,ESPT_272_A_winter_2016-17,34,Ethan Miller,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Nature in Russian Culture,ESRU,216,ESRU_216,ESRU_216_A,ESRU_216_A_winter_2016-17,34,Jane Costlow,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Introduction to European Studies,EUS,101,EUS_101,EUS_101_A,EUS_101_A_winter_2016-17,22,David George,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Jewish Lives in Eastern Europe,EUS,215,EUS_215,EUS_215_A,EUS_215_A_winter_2016-17,15,Raluca Cernahoschi,0,winter,2016-17,0,0,0,0,0,0,0,1,0
Senior Thesis,EUS,458,EUS_458,EUS_458_DG,EUS_458_DG_winter_2016-17,1,Dennis Browne,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Bates Science Fellows,EXDS,115,EXDS_115,EXDS_115_A,EXDS_115_A_winter_2016-17,9,John Smedley,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Elementary French II,FRE,102,FRE_102,FRE_102_A,FRE_102_A_winter_2016-17,17,Laura Balladur,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Oral French,FRE,205,FRE_205,FRE_205_A,FRE_205_A_winter_2016-17,0,Kristen Stern,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Introduction to the Francophone World,FRE,208,FRE_208,FRE_208_A,FRE_208_A_winter_2016-17,8,Kristen Stern,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Advanced French Language and Introduction to Film Analysis,FRE,235,FRE_235,FRE_235_A,FRE_235_A_winter_2016-17,11,Laura Balladur,0,winter,2016-17,0,0,0,0,1,0,0,0,1
Introduction to French Studies,FRE,240,FRE_240,FRE_240_A,FRE_240_A_winter_2016-17,2,Kristen Stern,0,winter,2016-17,0,0,0,0,1,0,0,0,1
Introduction to French Literature II,FRE,251,FRE_251,FRE_251_A,FRE_251_A_winter_2016-17,10,Alex Dauge-Roth,0,winter,2016-17,0,0,0,0,1,0,0,0,0
Translation: Theory and Practice,FRE,271,FRE_271,FRE_271_A,FRE_271_A_winter_2016-17,6,Laura Balladur,0,winter,2016-17,0,0,0,0,0,0,0,0,1
IS:Elementary French Theater,FRE,360,FRE_360,FRE_360_A,FRE_360_A_winter_2016-17,1,Laura Balladur,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Contemporary French Literature,FRE,375,FRE_375,FRE_375_A,FRE_375_A_winter_2016-17,4,Alex Dauge-Roth,0,winter,2016-17,0,0,0,0,1,0,0,0,0
Senior Thesis,FRE,458,FRE_458,FRE_458_AD,FRE_458_AD_winter_2016-17,1,Alex Dauge-Roth,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Global Change/Lab,GEO,109,GEO_109,GEO_109_A,GEO_109_A_winter_2016-17,34,Bev Johnson,0,winter,2016-17,1,1,1,0,0,0,0,1,0
Rock-Forming Minerals and Mineral Assemblages/Lab,GEO,223,GEO_223,GEO_223_A,GEO_223_A_winter_2016-17,9,Genevieve Robert,0,winter,2016-17,1,1,1,0,1,0,0,0,0
Environmental Geochemistry/Lab,GEO,240,GEO_240,GEO_240_A,GEO_240_A_winter_2016-17,14,Bev Johnson,0,winter,2016-17,1,1,1,0,1,0,0,0,0
Quaternary Geology/Lab,GEO,310,GEO_310,GEO_310_A,GEO_310_A_winter_2016-17,13,Michael Retelle,0,winter,2016-17,1,1,1,0,0,0,0,0,0
Seminar-Appalachian Geo/Lab,GEO,391,GEO_391,GEO_391_A,GEO_391_A_winter_2016-17,6,Dyk Eusden,0,winter,2016-17,1,1,1,0,0,0,0,0,0
Senior Thesis,GEO,458,GEO_458,GEO_458_JE,GEO_458_JE_winter_2016-17,3,Dyk Eusden,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Polar Environment,GEPH,111,GEPH_111,GEPH_111_A,GEPH_111_A_winter_2016-17,63,Raj Saha,0,winter,2016-17,1,0,1,0,0,0,0,0,1
Climate Change and Modeling,GEPH,220,GEPH_220,GEPH_220_A,GEPH_220_A_winter_2016-17,18,Raj Saha,0,winter,2016-17,1,0,1,0,0,0,0,0,1
Introduction to German Language and Culture II,GER,102,GER_102,GER_102_A,GER_102_A_winter_2016-17,6,Craig Decker,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Intermediate German Language and Culture II,GER,202,GER_202,GER_202_A,GER_202_A_winter_2016-17,8,Jakub Kazecki,0,winter,2016-17,0,0,0,0,0,0,0,0,0
German Composition and Conversation,GER,234,GER_234,GER_234_A,GER_234_A_winter_2016-17,8,Jakub Kazecki,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Austrian Literature,GER,357,GER_357,GER_357_A,GER_357_A_winter_2016-17,6,Craig Decker,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Senior Thesis,GER,458,GER_458,GER_458_JK,GER_458_JK_winter_2016-17,1,Jakub Kazecki,0,winter,2016-17,0,0,0,0,0,1,0,0,0
Elementary Ancient Greek,GRK,101,GRK_101,GRK_101_A,GRK_101_A_winter_2016-17,11,Lisa Maurizio,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Classical Poetry,GRK,202,GRK_202,GRK_202_A,GRK_202_A_winter_2016-17,9,Laurie O'Higgins,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Classical Poetry: Advanced,GRK,302,GRK_302,GRK_302_A,GRK_302_A_winter_2016-17,5,Laurie O'Higgins,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Latin American History: From the Conquest to the Present,HILS,181,HILS_181,HILS_181_A,HILS_181_A_winter_2016-17,29,Karen Melvin,0,winter,2016-17,0,0,0,0,0,0,0,0,0
The City in Latin America,HILS,282,HILS_282,HILS_282_A,HILS_282_A_winter_2016-17,12,Karen Melvin,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Religion and Government in the Middle East: Colonialism to the Arab Spring,HIRE,320,HIRE_320,HIRE_320_A,HIRE_320_A_winter_2016-17,8,Ali Akhtar,0,winter,2016-17,0,0,0,0,0,0,0,1,0
America in the Twentieth Century,HIST,142,HIST_142,HIST_142_A,HIST_142_A_winter_2016-17,22,Hilmar Jensen,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Fortress Europe,HIST,217,HIST_217,HIST_217_A,HIST_217_A_winter_2016-17,38,Caroline Shaw,0,winter,2016-17,0,0,0,0,0,0,0,0,0
U.S. Immigration History,HIST,281,HIST_281,HIST_281_A,HIST_281_A_winter_2016-17,19,Ian Shin,0,winter,2016-17,0,0,0,0,0,0,1,0,1
Senior Thesis,HIST,458,HIST_458,HIST_458_KM,HIST_458_KM_winter_2016-17,2,Karen Melvin,0,winter,2016-17,0,0,0,0,0,1,0,0,0
"African Perspectives on Justice, Human Rights, and Renewal",INDS,100,INDS_100,INDS_100_A,INDS_100_A_winter_2016-17,25,Elizabeth Eames,Alex Dauge-Roth,winter,2016-17,0,0,0,0,0,0,0,1,0
Introduction to Medieval Archeology,INDS,208,INDS_208,INDS_208_A,INDS_208_A_winter_2016-17,39,Gerald Bigelow,0,winter,2016-17,1,0,0,0,0,0,0,0,0
Modern Japanese Women Writers,INDS,255,INDS_255,INDS_255_A,INDS_255_A_winter_2016-17,10,Joanna Sturiano,0,winter,2016-17,0,0,0,0,1,0,0,0,1
Environmental History of China,INDS,266,INDS_266,INDS_266_A,INDS_266_A_winter_2016-17,36,Wesley Chaney,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Sex and the Modern City: European Cultures at the Fin-de-Siècle,INDS,301A,INDS_301A,INDS_301A_A,INDS_301A_A_winter_2016-17,5,Caroline Shaw,0,winter,2016-17,0,0,0,0,1,0,0,0,0
Race and U.S. Women's Movements,INDS,301Z,INDS_301Z,INDS_301Z_A,INDS_301Z_A_winter_2016-17,16,Melinda Plastas,0,winter,2016-17,0,0,0,0,1,0,0,1,1
"Art, Power, and Politics",INDS,305,INDS_305,INDS_305_A,INDS_305_A_winter_2016-17,13,Josh Rubin,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Preserving the Vibration: Digitizing the Legacy of Vertamae Smart-Grosvenor,INDS,352,INDS_352,INDS_352_A,INDS_352_A_winter_2016-17,10,Myron Beasley,0,winter,2016-17,0,0,0,0,0,0,0,0,0
Interdisciplinary Senior Thesis,INDS,458,INDS_458,INDS_458_PS,INDS_458_PS_winter_2016-17,1,Paul Schofield,0,winter,2016-17,0,0,0,0,0,1,0,0,1
Beginning Japanese II,JPN,102,JPN_102,JPN_102_A,JPN_102_A_winter_2016-17,9,Joanna Sturiano,0,winter,2016-17,0,0,0,0,0,0,0,1,1
Intermediate Japanese II,JPN,202,JPN_202,JPN_202_A,JPN_202_A_winter_2016-17,5,Keiko Konoeda,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Intermediate Japanese IV,JPN,302,JPN_302,JPN_302_A,JPN_302_A_winter_2016-17,3,Helen Weetman,0,winter,2016-17,0,0,0,0,0,0,0,1,1
Advanced Japanese II,JPN,402,JPN_402,JPN_402_A,JPN_402_A_winter_2016-17,7,Keiko Konoeda,0,winter,2016-17,0,0,0,0,0,0,0,0,1
Senior Thesis,JPN,458,JPN_458,JPN_458_HW,JPN_458_HW_winter_2016-17,2,Helen Weetman,0,winter,2016-17,0,0,0,0,0,1,0,0,1
